performanceResults
calculating performance for Length = 8410, StopPct = 0.021
Trade, Price, TimeStamp, PointValue, slippage, position
Sell, 40.33, 2015-01-26 09:35, 42000, 35, -1
Buy , 39.1043, 2015-02-02 09:35, 42000, 35, 0
Sell, 38.3, 2015-08-03 09:35, 42000, 35, -1
Buy , 38.7061, 2015-08-07 11:20, 42000, 35, 0
Sell, 37.91, 2015-08-12 11:05, 42000, 35, -1
Buy , 35.2245, 2015-08-25 10:40, 42000, 35, 0
Sell, 34.5, 2015-08-26 11:10, 42000, 35, -1
Buy , 35.1939, 2015-08-27 10:10, 42000, 35, 0
Sell, 34.47, 2015-09-11 11:05, 42000, 35, -1
Buy , 35.1837, 2015-09-14 09:35, 42000, 35, 0
Sell, 34.46, 2015-09-18 09:35, 42000, 35, -1
Buy , 34.9897, 2015-09-21 10:35, 42000, 35, 0
Buy , 41.98, 2016-04-04 11:00, 42000, 35, 1
Sell, 41.1767, 2016-04-08 10:00, 42000, 35, 0
Buy , 42.06, 2016-04-19 12:50, 42000, 35, 1
Sell, 41.3138, 2016-04-22 10:00, 42000, 35, 0
Buy , 42.2, 2016-10-24 09:35, 42000, 35, 1
Sell, 41.5879, 2016-10-27 13:05, 42000, 35, 0
Buy , 42.48, 2016-11-23 09:50, 42000, 35, 1
Sell, 42.6257, 2016-11-29 10:00, 42000, 35, 0
Buy , 43.54, 2016-12-01 09:50, 42000, 35, 1
Sell, 43.4774, 2016-12-08 09:35, 42000, 35, 0
Sell, 36.35, 2017-06-02 10:15, 42000, 35, -1
Buy , 36.9091, 2017-06-08 09:35, 42000, 35, 0
Sell, 36.15, 2018-02-13 09:35, 42000, 35, -1
Buy , 36.5212, 2018-02-21 09:35, 42000, 35, 0
Sell, 35.77, 2018-03-09 09:35, 42000, 35, -1
Buy , 36.3476, 2018-03-13 10:25, 42000, 35, 0
Sell, 35.6, 2018-03-23 13:10, 42000, 35, -1
Buy , 36.2659, 2018-03-29 11:05, 42000, 35, 0
Sell, 35.52, 2018-04-09 10:00, 42000, 35, -1
Buy , 34.7753, 2018-05-04 10:50, 42000, 35, 0
Sell, 34.06, 2018-06-12 12:40, 42000, 35, -1
Buy , 32.8149, 2018-06-19 10:40, 42000, 35, 0
Sell, 32.14, 2018-07-12 09:50, 42000, 35, -1
Buy , 32.0594, 2018-07-24 12:10, 42000, 35, 0
Sell, 31.4, 2018-08-15 12:55, 42000, 35, -1
Buy , 32.0594, 2018-08-17 13:15, 42000, 35, 0
Sell, 31.4, 2018-09-11 09:40, 42000, 35, -1
Buy , 31.0588, 2018-09-20 11:20, 42000, 35, 0
Sell, 30.42, 2018-11-26 10:10, 42000, 35, -1
Buy , 30.9159, 2018-11-28 09:35, 42000, 35, 0
Sell, 30.28, 2019-04-25 10:40, 42000, 35, -1
Buy , 30.3339, 2019-04-29 10:05, 42000, 35, 0
Sell, 29.71, 2019-05-02 09:35, 42000, 35, -1
Buy , 29.0781, 2019-05-14 09:35, 42000, 35, 0
Buy , 33.52, 2019-12-12 09:45, 42000, 35, 1
Sell, 35.851, 2019-12-31 09:35, 42000, 35, 0
Buy , 36.62, 2020-01-02 09:35, 42000, 35, 1
Sell, 35.851, 2020-01-06 09:35, 42000, 35, 0
Sell, 29.2, 2020-02-28 10:15, 42000, 35, -1
Buy , 29.7519, 2020-03-02 11:15, 42000, 35, 0
Sell, 29.14, 2020-03-09 09:35, 42000, 35, -1
Buy , 26.2397, 2020-03-17 10:15, 42000, 35, 0
Sell, 25.7, 2020-03-18 10:05, 42000, 35, -1
Buy , 26.1274, 2020-03-19 09:35, 42000, 35, 0
 
Performance for Sample Period
Profit             : 108617.6
WorstDrawDown      : -313559.26
NPTWDD             : 34.6402 %
#trades            : 28
Avg Rate Of Return : 20.6618 %
Standard Deviation : 79.5681 %
Sharpe Ratio       : 0.25967
 
you will need to process trade table to calculate: % of Winners, Average Winner, Average Loser, # of Winners,# of Losers, and some other characteristics
performanceResults
calculating performance for Length = 8410, StopPct = 0.021
Trade, Price, TimeStamp, PointValue, slippage, position
Sell, 53.2, 2005-01-12 12:45, 42000, 35, -1
Buy , 53.3881, 2005-02-11 13:00, 42000, 35, 0
Buy , 58.14, 2005-06-17 12:35, 42000, 35, 1
Sell, 58.1428, 2005-06-27 10:55, 42000, 35, 0
Sell, 54.7, 2005-11-17 10:15, 42000, 35, -1
Buy , 54.1334, 2006-01-03 09:35, 42000, 35, 0
Buy , 57.77, 2006-05-12 09:35, 42000, 35, 1
Sell, 56.7037, 2006-05-15 11:00, 42000, 35, 0
Buy , 57.92, 2006-07-06 12:10, 42000, 35, 1
Sell, 57.5456, 2006-07-18 12:05, 42000, 35, 0
Buy , 58.78, 2006-11-14 13:15, 42000, 35, 1
Sell, 58.3288, 2006-12-11 09:40, 42000, 35, 0
Buy , 59.58, 2007-02-02 12:20, 42000, 35, 1
Sell, 59.2099, 2007-02-27 09:35, 42000, 35, 0
Buy , 60.48, 2007-03-23 10:50, 42000, 35, 1
Sell, 60.8253, 2007-04-17 13:05, 42000, 35, 0
Buy , 62.13, 2007-04-30 10:10, 42000, 35, 1
Sell, 61.0798, 2007-05-07 09:45, 42000, 35, 0
Buy , 62.39, 2007-05-11 09:35, 42000, 35, 1
Sell, 63.2924, 2007-06-11 09:40, 42000, 35, 0
Buy , 64.65, 2007-06-29 09:35, 42000, 35, 1
Sell, 64.6629, 2007-07-17 12:40, 42000, 35, 0
Buy , 66.05, 2007-07-20 09:50, 42000, 35, 1
Sell, 64.6727, 2007-07-23 11:40, 42000, 35, 0
Buy , 66.06, 2007-09-12 10:00, 42000, 35, 1
Sell, 65.8965, 2007-10-02 10:35, 42000, 35, 0
Buy , 67.31, 2007-10-17 10:35, 42000, 35, 1
Sell, 68.1286, 2007-11-01 09:35, 42000, 35, 0
Buy , 69.59, 2007-11-02 11:05, 42000, 35, 1
Sell, 72.074, 2007-12-03 09:35, 42000, 35, 0
Buy , 73.62, 2007-12-21 10:00, 42000, 35, 1
