Trade, Price, TimeStamp, PointValue, slippage, position
Sell, 53.87, 2005-01-03 09:35, 42000, 19.5, -1
Buy , 53.9239, 2005-01-03 09:40, 42000, 19.5, 0
Sell, 53.87, 2005-01-03 09:50, 42000, 19.5, -1
Buy , 53.8938, 2005-01-03 09:55, 42000, 19.5, 0
Sell, 53.84, 2005-01-03 10:00, 42000, 19.5, -1
Buy , 53.8838, 2005-01-03 10:05, 42000, 19.5, 0
Sell, 53.83, 2005-01-03 10:35, 42000, 19.5, -1
Buy , 53.6236, 2005-01-03 11:20, 42000, 19.5, 0
Sell, 53.57, 2005-01-03 12:15, 42000, 19.5, -1
Buy , 53.5034, 2005-01-03 12:40, 42000, 19.5, 0
Sell, 53.45, 2005-01-04 09:35, 42000, 19.5, -1
Buy , 53.3533, 2005-01-04 09:50, 42000, 19.5, 0
Buy , 53.64, 2005-01-06 09:35, 42000, 19.5, 1
Sell, 53.6563, 2005-01-06 09:40, 42000, 19.5, 0
Buy , 53.71, 2005-01-06 13:15, 42000, 19.5, 1
Sell, 53.8461, 2005-01-07 09:40, 42000, 19.5, 0
Buy , 53.9, 2005-01-07 10:25, 42000, 19.5, 1
Sell, 53.906, 2005-01-07 10:45, 42000, 19.5, 0
Sell, 53.5, 2005-01-10 12:55, 42000, 19.5, -1
Buy , 53.5335, 2005-01-10 13:00, 42000, 19.5, 0
Sell, 53.48, 2005-01-11 10:00, 42000, 19.5, -1
Buy , 53.4534, 2005-01-11 10:05, 42000, 19.5, 0
Sell, 53.4, 2005-01-11 13:10, 42000, 19.5, -1
Buy , 53.2932, 2005-01-12 09:40, 42000, 19.5, 0
Sell, 53.24, 2005-01-12 10:05, 42000, 19.5, -1
Buy , 53.2632, 2005-01-12 10:30, 42000, 19.5, 0
Sell, 53.21, 2005-01-12 12:45, 42000, 19.5, -1
Buy , 53.1831, 2005-01-12 13:05, 42000, 19.5, 0
Sell, 53.12, 2005-01-12 13:10, 42000, 19.5, -1
Buy , 53.1431, 2005-01-12 13:15, 42000, 19.5, 0
Sell, 53.02, 2005-01-13 10:45, 42000, 19.5, -1
Buy , 53.053, 2005-01-13 10:55, 42000, 19.5, 0
Buy , 53.54, 2005-01-13 13:15, 42000, 19.5, 1
Sell, 53.4865, 2005-01-14 09:35, 42000, 19.5, 0
Sell, 53, 2005-01-18 12:40, 42000, 19.5, -1
Buy , 52.9329, 2005-01-19 09:35, 42000, 19.5, 0
Sell, 52.95, 2005-01-21 11:20, 42000, 19.5, -1
Buy , 52.9929, 2005-01-21 11:30, 42000, 19.5, 0
Buy , 53.27, 2005-01-24 09:35, 42000, 19.5, 1
Sell, 53.2367, 2005-01-24 09:40, 42000, 19.5, 0
Buy , 53.29, 2005-01-24 09:45, 42000, 19.5, 1
Sell, 53.3866, 2005-01-24 09:55, 42000, 19.5, 0
Sell, 53.03, 2005-01-26 11:20, 42000, 19.5, -1
Buy , 53.023, 2005-01-26 11:45, 42000, 19.5, 0
Sell, 52.97, 2005-01-26 13:15, 42000, 19.5, -1
Buy , 52.9129, 2005-01-27 09:50, 42000, 19.5, 0
Sell, 52.86, 2005-01-27 10:15, 42000, 19.5, -1
Buy , 52.8928, 2005-01-27 10:45, 42000, 19.5, 0
Sell, 52.84, 2005-01-28 10:15, 42000, 19.5, -1
Buy , 52.8728, 2005-01-28 10:30, 42000, 19.5, 0
Sell, 52.82, 2005-01-28 11:45, 42000, 19.5, -1
Buy , 52.8628, 2005-01-28 12:15, 42000, 19.5, 0
Sell, 52.81, 2005-01-28 12:35, 42000, 19.5, -1
Buy , 52.7427, 2005-01-28 12:55, 42000, 19.5, 0
Sell, 52.69, 2005-01-31 09:35, 42000, 19.5, -1
Buy , 52.6726, 2005-01-31 09:40, 42000, 19.5, 0
Buy , 52.98, 2005-01-31 13:00, 42000, 19.5, 1
Sell, 52.937, 2005-01-31 13:10, 42000, 19.5, 0
Sell, 52.62, 2005-02-01 12:55, 42000, 19.5, -1
Buy , 52.5825, 2005-02-01 13:10, 42000, 19.5, 0
Sell, 52.53, 2005-02-01 13:15, 42000, 19.5, -1
Buy , 52.5725, 2005-02-02 09:35, 42000, 19.5, 0
Sell, 52.52, 2005-02-02 10:00, 42000, 19.5, -1
Buy , 52.5325, 2005-02-02 10:10, 42000, 19.5, 0
Sell, 52.48, 2005-02-02 10:25, 42000, 19.5, -1
Buy , 52.5325, 2005-02-02 11:15, 42000, 19.5, 0
Sell, 52.48, 2005-02-02 13:00, 42000, 19.5, -1
Buy , 52.4624, 2005-02-03 09:35, 42000, 19.5, 0
Sell, 52.41, 2005-02-03 10:15, 42000, 19.5, -1
Buy , 52.4524, 2005-02-03 10:25, 42000, 19.5, 0
Sell, 52.4, 2005-02-03 10:50, 42000, 19.5, -1
Buy , 52.3423, 2005-02-03 12:40, 42000, 19.5, 0
Sell, 52.29, 2005-02-04 09:35, 42000, 19.5, -1
Buy , 52.3423, 2005-02-04 09:40, 42000, 19.5, 0
Buy , 52.55, 2005-02-04 13:00, 42000, 19.5, 1
Sell, 52.5174, 2005-02-04 13:05, 42000, 19.5, 0
Buy , 52.57, 2005-02-07 09:35, 42000, 19.5, 1
